id,x,y,z,date_mpu,time_mpu,time_float
101,-1412,1064,15756,2022-03-25,20:20:59,20.3497
102,-1232,1000,15732,2022-03-25,20:21:16,20.3544
103,-1112,1000,15648,2022-03-25,20:21:32,20.3589
104,-1164,1000,15684,2022-03-25,20:21:48,20.3633
105,-1196,892,15768,2022-03-25,20:22:03,20.3675
106,-1380,1676,16356,2022-03-25,20:22:19,20.3719
107,-1176,972,15608,2022-03-25,20:22:35,20.3764
108,-1204,956,15752,2022-03-25,20:22:50,20.3806
109,-1188,1000,15560,2022-03-25,20:23:06,20.385
110,-1156,980,15724,2022-03-25,20:23:22,20.3894
111,-1152,968,15656,2022-03-25,20:23:37,20.3936
112,-1208,992,15728,2022-03-25,20:23:53,20.3981
113,-1204,984,15816,2022-03-25,20:24:09,20.4025
114,-1172,1044,15752,2022-03-25,20:24:24,20.4067
115,-1168,916,15728,2022-03-25,20:24:40,20.4111
116,-1192,980,15684,2022-03-25,20:24:56,20.4156
117,-1228,956,15716,2022-03-25,20:25:11,20.4197
118,-1156,944,15744,2022-03-25,20:25:27,20.4242
119,-1184,980,15680,2022-03-25,20:25:43,20.4286
120,-1184,988,15712,2022-03-25,20:25:58,20.4328
121,-1220,996,15688,2022-03-25,20:26:14,20.4372
122,-1180,1020,15756,2022-03-25,20:26:30,20.4417
123,-1196,960,15636,2022-03-25,20:26:45,20.4458
124,-1244,964,15624,2022-03-25,20:27:01,20.4503
125,-1208,1016,15744,2022-03-25,20:27:17,20.4547
126,-1284,1024,15804,2022-03-25,20:27:32,20.4589
127,-1172,992,15628,2022-03-25,20:27:48,20.4633
128,-1228,1024,15772,2022-03-25,20:28:04,20.4678
129,-1216,1008,15620,2022-03-25,20:28:19,20.4719
130,-1224,1012,15728,2022-03-25,20:28:35,20.4764
131,-1140,976,15804,2022-03-25,20:28:51,20.4808
132,-1180,948,15756,2022-03-25,20:29:06,20.485
133,-1172,984,15772,2022-03-25,20:29:22,20.4894
134,-1128,980,15724,2022-03-25,20:29:38,20.4939
135,-1192,992,15724,2022-03-25,20:29:53,20.4981
136,-1152,992,15716,2022-03-25,20:30:09,20.5025
137,-1216,960,15700,2022-03-25,20:30:25,20.5069
138,-1180,1012,15660,2022-03-25,20:30:40,20.5111
139,-1176,956,15624,2022-03-25,20:30:56,20.5156
140,-1156,996,15636,2022-03-25,20:31:12,20.52
141,-1208,1000,15704,2022-03-25,20:31:27,20.5242
142,-1132,1036,15648,2022-03-25,20:31:43,20.5286
143,-1184,948,15784,2022-03-25,20:31:59,20.5331
144,-1220,1008,15792,2022-03-25,20:32:14,20.5372
145,-1188,968,15664,2022-03-25,20:32:30,20.5417
146,-1148,852,15784,2022-03-25,20:32:46,20.5461
147,-1176,960,15680,2022-03-25,20:33:01,20.5503
148,-1144,976,15620,2022-03-25,20:33:17,20.5547
149,-1152,988,15672,2022-03-25,20:33:33,20.5592
150,-1172,968,15752,2022-03-25,20:33:48,20.5633
151,-1208,940,15648,2022-03-25,20:34:04,20.5678
152,-1132,972,15736,2022-03-25,20:34:20,20.5722
153,-1160,992,15636,2022-03-25,20:34:35,20.5764
154,-1192,984,15836,2022-03-25,20:34:51,20.5808
155,-1220,1016,15728,2022-03-25,20:35:07,20.5853
156,-1224,964,15724,2022-03-25,20:35:22,20.5894
157,-1208,1052,15816,2022-03-25,20:35:38,20.5939
158,-1120,948,15752,2022-03-25,20:35:54,20.5983
159,-1204,976,15704,2022-03-25,20:36:09,20.6025
160,-1220,1032,15724,2022-03-25,20:36:25,20.6069
161,-1160,1000,15684,2022-03-25,20:36:41,20.6114
162,-1128,984,15612,2022-03-25,20:36:56,20.6156
