id,x,y,z,date_mpu,time_mpu,time_float
1,8404,13696,-4676,2022-03-26,15:53:58,15.8994
2,8420,13668,-4780,2022-03-26,15:54:14,15.9039
3,8380,13812,-4852,2022-03-26,15:54:30,15.9083
4,8400,13800,-4748,2022-03-26,15:54:45,15.9125
5,8416,13736,-4700,2022-03-26,15:55:01,15.9169
6,8400,13728,-4672,2022-03-26,15:55:17,15.9214
7,8452,13744,-4732,2022-03-26,15:55:32,15.9256
8,8444,13760,-4644,2022-03-26,15:55:48,15.93
9,8336,13676,-4748,2022-03-26,15:56:04,15.9344
10,8908,13444,-5236,2022-03-26,15:56:19,15.9386
11,8628,13400,-5244,2022-03-26,15:56:35,15.9431
12,8576,13432,-5248,2022-03-26,15:56:51,15.9475
13,8700,13456,-5228,2022-03-26,15:57:06,15.9517
14,8696,13512,-5212,2022-03-26,15:57:22,15.9561
15,8612,13448,-5224,2022-03-26,15:57:38,15.9606
16,8728,13284,-5580,2022-03-26,15:57:53,15.9647
17,8648,13400,-5204,2022-03-26,15:58:09,15.9692
18,8620,13604,-5236,2022-03-26,15:58:25,15.9736
19,8588,13488,-5044,2022-03-26,15:58:40,15.9778
20,8684,13528,-4820,2022-03-26,15:58:56,15.9822
21,8536,13572,-4944,2022-03-26,15:59:12,15.9867
22,8628,13560,-5020,2022-03-26,15:59:27,15.9908
23,8692,13520,-5048,2022-03-26,15:59:43,15.9953
24,8648,13584,-4844,2022-03-26,15:59:59,15.9997
25,8524,13572,-5064,2022-03-26,16:00:14,16.0039
26,8608,13572,-4808,2022-03-26,16:00:30,16.0083
27,8504,13560,-4848,2022-03-26,16:00:46,16.0128
28,8588,13656,-4652,2022-03-26,16:01:01,16.0169
29,8568,13568,-4668,2022-03-26,16:01:17,16.0214
30,8524,13632,-4836,2022-03-26,16:01:33,16.0258
31,8500,13528,-4912,2022-03-26,16:01:48,16.03
32,8644,13780,-4744,2022-03-26,16:02:04,16.0344
33,8476,13740,-5028,2022-03-26,16:02:20,16.0389
34,8568,13680,-4736,2022-03-26,16:02:35,16.0431
35,8576,13584,-4760,2022-03-26,16:02:51,16.0475
36,8540,13628,-4588,2022-03-26,16:03:07,16.0519
37,8604,13704,-4784,2022-03-26,16:03:22,16.0561
38,8672,13552,-4684,2022-03-26,16:03:38,16.0606
39,8488,13740,-4740,2022-03-26,16:03:54,16.065
40,8448,13608,-4796,2022-03-26,16:04:09,16.0692
41,8596,13724,-4768,2022-03-26,16:04:25,16.0736
42,8528,13744,-4760,2022-03-26,16:04:41,16.0781
43,8584,13608,-4812,2022-03-26,16:04:56,16.0822
44,8624,13660,-4668,2022-03-26,16:05:12,16.0867
45,8604,13692,-4824,2022-03-26,16:05:28,16.0911
46,8580,13652,-4696,2022-03-26,16:05:43,16.0953
47,8472,13692,-4640,2022-03-26,16:05:59,16.0997
48,8708,13668,-4720,2022-03-26,16:06:15,16.1042
49,8560,13696,-4752,2022-03-26,16:06:30,16.1083
50,8496,13708,-4636,2022-03-26,16:06:46,16.1128
51,8548,13620,-4924,2022-03-26,16:07:02,16.1172
52,8536,13652,-4680,2022-03-26,16:07:17,16.1214
53,8712,13648,-4736,2022-03-26,16:07:33,16.1258
54,8604,13548,-4840,2022-03-26,16:07:49,16.1303
55,8460,13660,-4716,2022-03-26,16:08:04,16.1344
56,8424,13664,-4660,2022-03-26,16:08:20,16.1389
57,8708,13588,-4740,2022-03-26,16:08:36,16.1433
58,8636,13652,-4708,2022-03-26,16:08:51,16.1475
59,8400,13712,-4820,2022-03-26,16:09:07,16.1519
60,8476,13720,-4584,2022-03-26,16:09:23,16.1564
61,8612,13680,-4476,2022-03-26,16:09:38,16.1606
62,8608,13756,-4776,2022-03-26,16:09:54,16.165
63,8480,13704,-4628,2022-03-26,16:10:10,16.1694
64,8600,13684,-4852,2022-03-26,16:10:25,16.1736
65,8656,13696,-4584,2022-03-26,16:10:41,16.1781
66,8548,13704,-4720,2022-03-26,16:10:57,16.1825
67,8620,13632,-4676,2022-03-26,16:11:12,16.1867
68,8556,13916,-4368,2022-03-26,16:11:28,16.1911
69,8420,13644,-4868,2022-03-26,16:11:44,16.1956
70,8656,13652,-4688,2022-03-26,16:11:59,16.1997
71,8540,13692,-4712,2022-03-26,16:12:15,16.2042
72,8428,13648,-4668,2022-03-26,16:12:31,16.2086
73,8564,13632,-4816,2022-03-26,16:12:46,16.2128
74,8584,13596,-4864,2022-03-26,16:13:02,16.2172
75,8576,13724,-4740,2022-03-26,16:13:18,16.2217
76,8572,13588,-4824,2022-03-26,16:13:33,16.2258
77,8472,13660,-4720,2022-03-26,16:13:49,16.2303
78,8432,13672,-4900,2022-03-26,16:14:04,16.2344
79,8436,13756,-4744,2022-03-26,16:14:20,16.2389
80,8444,13668,-4984,2022-03-26,16:14:36,16.2433
81,8352,13608,-4952,2022-03-26,16:14:51,16.2475
82,8548,13664,-4872,2022-03-26,16:15:07,16.2519
83,8488,13652,-4836,2022-03-26,16:15:23,16.2564
84,8408,13656,-4876,2022-03-26,16:15:38,16.2606
85,8412,13648,-4600,2022-03-26,16:15:54,16.265
86,8392,13444,-4748,2022-03-26,16:16:10,16.2694
87,8536,13644,-4884,2022-03-26,16:16:25,16.2736
88,8376,13712,-4748,2022-03-26,16:16:41,16.2781
89,8412,13620,-4872,2022-03-26,16:16:57,16.2825
90,8440,13548,-4900,2022-03-26,16:17:12,16.2867
91,8412,13636,-4932,2022-03-26,16:17:28,16.2911
92,8408,13572,-4860,2022-03-26,16:17:44,16.2956
93,8392,13684,-4900,2022-03-26,16:17:59,16.2997
94,8436,13648,-4780,2022-03-26,16:18:15,16.3042
95,8480,13692,-4944,2022-03-26,16:18:31,16.3086
96,8400,13700,-4664,2022-03-26,16:18:46,16.3128
97,8264,13856,-4576,2022-03-26,16:19:02,16.3172
98,8116,13932,-4272,2022-03-26,16:19:18,16.3217
99,8256,13792,-4504,2022-03-26,16:19:33,16.3258
100,8252,13932,-4444,2022-03-26,16:19:49,16.3303
101,8388,14060,-4596,2022-03-26,16:20:05,16.3347
102,8292,13800,-4344,2022-03-26,16:20:20,16.3389
103,8332,13920,-4412,2022-03-26,16:20:36,16.3433
104,8220,13840,-4588,2022-03-26,16:20:52,16.3478
105,8404,13884,-4440,2022-03-26,16:21:07,16.3519
106,8308,13820,-4344,2022-03-26,16:21:23,16.3564
107,8340,13844,-4472,2022-03-26,16:21:39,16.3608
108,8424,13776,-4516,2022-03-26,16:21:54,16.365
109,8284,13844,-4528,2022-03-26,16:22:10,16.3694
110,8408,13800,-4308,2022-03-26,16:22:26,16.3739
111,8292,13836,-4444,2022-03-26,16:22:41,16.3781
112,8284,13848,-4524,2022-03-26,16:22:57,16.3825
113,8316,13904,-4284,2022-03-26,16:23:13,16.3869
114,8308,13848,-4452,2022-03-26,16:23:28,16.3911
115,8348,13844,-4416,2022-03-26,16:23:44,16.3956
116,8388,13960,-4348,2022-03-26,16:24:00,16.4
117,8244,13864,-4368,2022-03-26,16:24:15,16.4042
118,8296,13868,-4344,2022-03-26,16:24:31,16.4086
119,8292,13840,-4368,2022-03-26,16:24:47,16.4131
120,8288,13800,-4404,2022-03-26,16:25:02,16.4172
121,8308,13760,-4556,2022-03-26,16:25:18,16.4217
122,8264,13868,-4484,2022-03-26,16:25:34,16.4261
123,8408,13804,-4336,2022-03-26,16:25:49,16.4303
124,8236,13840,-4416,2022-03-26,16:26:05,16.4347
125,8336,13804,-4456,2022-03-26,16:26:21,16.4392
126,8308,13876,-4344,2022-03-26,16:26:36,16.4433
127,8324,13908,-4480,2022-03-26,16:26:52,16.4478
128,8288,13876,-4480,2022-03-26,16:27:08,16.4522
129,8388,13868,-4336,2022-03-26,16:27:23,16.4564
130,8300,13792,-4480,2022-03-26,16:27:39,16.4608
131,8344,13856,-4372,2022-03-26,16:27:55,16.4653
132,8260,13872,-4372,2022-03-26,16:28:10,16.4694
133,8388,13860,-4424,2022-03-26,16:28:26,16.4739
134,8248,13816,-4456,2022-03-26,16:28:42,16.4783
135,8284,13924,-4428,2022-03-26,16:28:57,16.4825
136,8344,13788,-4476,2022-03-26,16:29:13,16.4869
137,8376,13936,-4432,2022-03-26,16:29:29,16.4914
138,8088,13912,-4476,2022-03-26,16:29:44,16.4956
139,8192,13928,-4380,2022-03-26,16:30:00,16.5
140,8288,13936,-4520,2022-03-26,16:30:16,16.5044
141,8316,13900,-4396,2022-03-26,16:30:31,16.5086
142,8380,13828,-4356,2022-03-26,16:30:47,16.5131
143,8312,13876,-4404,2022-03-26,16:31:03,16.5175
144,8220,13768,-4392,2022-03-26,16:31:18,16.5217
145,8360,13988,-4536,2022-03-26,16:31:34,16.5261
146,8396,13712,-4184,2022-03-26,16:31:50,16.5306
147,8232,13792,-4264,2022-03-26,16:32:05,16.5347
148,8372,13836,-4316,2022-03-26,16:32:21,16.5392
149,8388,13792,-4180,2022-03-26,16:32:37,16.5436
150,8336,13896,-4260,2022-03-26,16:32:52,16.5478
151,8384,13840,-4336,2022-03-26,16:33:08,16.5522
152,8268,13844,-4240,2022-03-26,16:33:24,16.5567
153,8360,13856,-4256,2022-03-26,16:33:39,16.5608
154,8136,13844,-4104,2022-03-26,16:33:55,16.5653
155,8252,13900,-3932,2022-03-26,16:34:11,16.5697
156,8356,13876,-4184,2022-03-26,16:34:26,16.5739
157,8276,13932,-4076,2022-03-26,16:34:42,16.5783
158,8196,13964,-4024,2022-03-26,16:34:58,16.5828
159,8236,13964,-4120,2022-03-26,16:35:13,16.5869
160,-7028,752,14784,2022-03-26,16:35:29,16.5914
161,-11172,-4152,9568,2022-03-26,16:35:45,16.5958
162,-6604,2096,13844,2022-03-26,16:36:00,16.6
163,-6092,2032,14080,2022-03-26,16:36:16,16.6044
164,-6300,2208,13868,2022-03-26,16:36:31,16.6086
165,-5928,2312,14156,2022-03-26,16:36:47,16.6131
166,-5884,2376,14196,2022-03-26,16:37:03,16.6175
167,-5996,2208,14024,2022-03-26,16:37:18,16.6217
168,-5936,2280,14228,2022-03-26,16:37:34,16.6261
169,"0","0","0",2022-03-26,16:40:08,16.6689
170,"0","0","0",2022-03-26,16:42:21,16.7058
171,"0","0","0",2022-03-26,16:42:37,16.7103
172,"0","0","0",2022-03-26,16:42:55,16.7153
173,14220,1228,8740,2022-03-26,16:43:25,16.7236
174,-2328,-1528,15632,2022-03-26,16:43:42,16.7283
175,-2436,-1852,15460,2022-03-26,16:43:58,16.7328
176,"0","0","0",2022-03-26,16:44:14,16.7372
177,"0","0","0",2022-03-26,16:44:29,16.7414
178,"0","0","0",2022-03-26,16:44:45,16.7458
179,"0","0","0",2022-03-26,16:45:03,16.7508
180,"0","0","0",2022-03-26,16:45:22,16.7561
181,"0","0","0",2022-03-26,16:45:37,16.7603
182,"0","0","0",2022-03-26,16:45:53,16.7647
183,"0","0","0",2022-03-26,16:46:09,16.7692
184,"0","0","0",2022-03-26,16:46:24,16.7733
185,"0","0","0",2022-03-26,16:46:40,16.7778
186,"0","0","0",2022-03-26,16:46:56,16.7822
187,"0","0","0",2022-03-26,16:47:11,16.7864
188,"0","0","0",2022-03-26,16:47:27,16.7908
189,"0","0","0",2022-03-26,16:47:43,16.7953
190,"0","0","0",2022-03-26,16:47:58,16.7994
191,"0","0","0",2022-03-26,16:48:14,16.8039
192,"0","0","0",2022-03-26,16:48:30,16.8083
193,"0","0","0",2022-03-26,16:48:45,16.8125
194,"0","0","0",2022-03-26,16:49:01,16.8169
195,"0","0","0",2022-03-26,16:49:17,16.8214
196,"0","0","0",2022-03-26,16:49:32,16.8256
197,"0","0","0",2022-03-26,16:49:48,16.83
198,"0","0","0",2022-03-26,16:50:04,16.8344
199,"0","0","0",2022-03-26,16:50:19,16.8386
200,"0","0","0",2022-03-26,16:50:35,16.8431
201,"0","0","0",2022-03-26,16:50:51,16.8475
202,"0","0","0",2022-03-26,16:51:06,16.8517
203,"0","0","0",2022-03-26,16:51:22,16.8561
204,"0","0","0",2022-03-26,16:51:38,16.8606
205,"0","0","0",2022-03-26,16:51:53,16.8647
206,"0","0","0",2022-03-26,16:52:09,16.8692
207,"0","0","0",2022-03-26,16:52:25,16.8736
208,"0","0","0",2022-03-26,16:52:40,16.8778
209,"0","0","0",2022-03-26,16:52:56,16.8822
210,"0","0","0",2022-03-26,16:53:12,16.8867
211,"0","0","0",2022-03-26,16:53:27,16.8908
212,"0","0","0",2022-03-26,16:53:43,16.8953
213,"0","0","0",2022-03-26,16:53:59,16.8997
214,"0","0","0",2022-03-26,16:54:14,16.9039
215,"0","0","0",2022-03-26,16:54:30,16.9083
216,"0","0","0",2022-03-26,16:54:46,16.9128
217,"0","0","0",2022-03-26,16:55:01,16.9169
218,"0","0","0",2022-03-26,16:55:17,16.9214
219,"0","0","0",2022-03-26,16:55:33,16.9258
220,"0","0","0",2022-03-26,16:55:48,16.93
221,"0","0","0",2022-03-26,16:56:04,16.9344
222,"0","0","0",2022-03-26,16:56:20,16.9389
223,1820,2020,16016,2022-03-26,16:57:02,16.9506
224,1868,2352,15872,2022-03-26,16:57:20,16.9556
225,1960,2408,15628,2022-03-26,16:57:36,16.96
226,2036,2448,15720,2022-03-26,16:57:51,16.9642
227,1980,2548,15764,2022-03-26,16:58:07,16.9686
228,2108,2420,15652,2022-03-26,16:58:23,16.9731
229,1928,2440,15720,2022-03-26,16:58:38,16.9772
230,2104,2440,15756,2022-03-26,16:58:54,16.9817
231,2132,2556,15684,2022-03-26,16:59:10,16.9861
232,2104,2504,15808,2022-03-26,16:59:25,16.9903
233,2068,2548,15820,2022-03-26,16:59:41,16.9947
234,2080,2512,15724,2022-03-26,16:59:57,16.9992
235,2148,2512,15764,2022-03-26,17:00:12,17.0033
236,2108,2468,15840,2022-03-26,17:00:28,17.0078
237,2124,2436,15680,2022-03-26,17:00:44,17.0122
238,2124,2516,15804,2022-03-26,17:00:59,17.0164
239,2040,2536,15736,2022-03-26,17:01:15,17.0208
240,2064,2448,15752,2022-03-26,17:01:31,17.0253
241,2032,2620,15684,2022-03-26,17:01:46,17.0294
242,2036,2540,15844,2022-03-26,17:02:02,17.0339
243,2092,2576,15832,2022-03-26,17:02:18,17.0383
244,2168,2528,15716,2022-03-26,17:02:33,17.0425
245,2192,2516,15704,2022-03-26,17:02:49,17.0469
