id,x,y,z,date_mpu,time_mpu,time_float
1,-852,-6288,13332,2022-03-24,17:08:00,17.1333
2,-11240,-4752,11148,2022-03-24,17:08:18,17.1383
3,288,-1656,8444,2022-03-24,17:08:33,17.1425
4,6144,-4272,17420,2022-03-24,17:08:49,17.1469
5,1420,900,15400,2022-03-24,17:09:05,17.1514
6,6100,1460,20432,2022-03-24,17:09:20,17.1556
7,-8720,-5664,11844,2022-03-24,17:09:36,17.16
8,-7328,-6048,12532,2022-03-24,17:09:52,17.1644
9,6056,6968,13244,2022-03-24,17:10:07,17.1686
10,-7744,-7576,11480,2022-03-24,17:10:23,17.1731
11,5756,-2464,13236,2022-03-24,17:10:39,17.1775
12,856,-1096,17964,2022-03-24,17:10:54,17.1817
13,-2912,3824,13704,2022-03-24,17:11:10,17.1861
14,-7196,13140,8752,2022-03-24,17:11:26,17.1906
15,-4296,11208,11232,2022-03-24,17:11:41,17.1947
16,4664,9096,15404,2022-03-24,17:11:57,17.1992
17,-22248,-3324,9572,2022-03-24,17:12:13,17.2036
18,7396,10884,12004,2022-03-24,17:12:28,17.2078
19,6552,-1096,17460,2022-03-24,17:38:32,17.6422
20,9856,4700,14348,2022-03-24,17:38:50,17.6472
21,-980,-1740,15344,2022-03-24,17:39:06,17.6517
22,5260,5672,12964,2022-03-24,17:39:22,17.6561
23,1144,-2352,16340,2022-03-24,17:39:38,17.6606
24,2280,5744,13620,2022-03-24,17:39:53,17.6647
25,8696,-5140,15956,2022-03-25,16:35:22,16.5894
26,9688,4828,14844,2022-03-25,16:35:40,16.5944
27,-1988,584,16160,2022-03-25,16:35:56,16.5989
28,-1668,3208,12280,2022-03-25,16:36:12,16.6033
29,7740,-5520,14916,2022-03-25,16:36:27,16.6075
30,-2404,-1788,17880,2022-03-25,16:36:43,16.6119
31,-4580,-8468,13300,2022-03-25,16:36:59,16.6164
32,-13036,-4724,10328,2022-03-25,16:37:14,16.6206
33,-2904,-3472,15500,2022-03-25,16:37:30,16.625
34,-4964,-7896,15168,2022-03-25,16:37:46,16.6294
35,-4020,11864,14388,2022-03-25,16:38:01,16.6336
36,-7116,-4372,14780,2022-03-25,16:38:17,16.6381
37,3320,4472,14836,2022-03-25,16:38:33,16.6425
38,-4784,-456,13752,2022-03-25,16:38:48,16.6467
39,-176,2640,14244,2022-03-25,16:39:04,16.6511
40,-2672,864,14820,2022-03-25,16:39:20,16.6556
41,-3520,-6724,14336,2022-03-25,16:39:35,16.6597
42,8164,-900,20032,2022-03-25,16:39:51,16.6642
43,-2096,-308,17300,2022-03-25,16:40:07,16.6686
44,2000,2464,14980,2022-03-25,16:40:22,16.6728
45,-8984,-2068,11432,2022-03-25,16:40:38,16.6772
46,-5404,-7140,13436,2022-03-25,16:40:54,16.6817
47,2732,-3540,14548,2022-03-25,16:41:09,16.6858
48,-2080,-3272,15680,2022-03-25,16:41:25,16.6903
49,-8048,-7808,13440,2022-03-25,16:41:41,16.6947
50,1528,-2500,15208,2022-03-25,16:41:56,16.6989
51,-5468,-6220,14412,2022-03-25,16:42:12,16.7033
52,-700,-4324,13320,2022-03-25,17:25:09,17.4192
53,8632,2168,16068,2022-03-25,17:25:27,17.4242
54,2264,-3076,15484,2022-03-25,17:25:43,17.4286
55,2020,3236,14732,2022-03-25,17:25:58,17.4328
56,-2436,-5520,15304,2022-03-25,17:26:14,17.4372
57,2056,-1620,14888,2022-03-25,17:26:30,17.4417
58,2916,-2364,17460,2022-03-25,17:26:45,17.4458
59,-5192,-4628,14832,2022-03-25,17:27:01,17.4503
60,-7780,-5744,14580,2022-03-25,17:27:17,17.4547
